"";"ensembl_gene_id";"description";"external_gene_name";"entrezgene";"zfin_id_id"
"2772";"ENSDARG00000015576";"inositol 1,4,5-trisphosphate receptor interacting protein [Source:ZFIN;Acc:ZDB-GENE-050417-422]";"itprip";550570;"ZDB-GENE-050417-422"
"2773";"ENSDARG00000015589";"ankyrin repeat domain 33Bb [Source:ZFIN;Acc:ZDB-GENE-070912-531]";"ankrd33bb";557905;"ZDB-GENE-070912-531"
"2774";"ENSDARG00000015592";"complement component 1, q subcomponent-like 2 [Source:ZFIN;Acc:ZDB-GENE-081105-160]";"c1ql2";100005110;"ZDB-GENE-081105-160"
"2775";"ENSDARG00000015607";"si:ch211-220f21.2 [Source:ZFIN;Acc:ZDB-GENE-160113-17]";"si:ch211-220f21.2";NA;"ZDB-GENE-160113-17"
"2776";"ENSDARG00000015610";"tubulin, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-040426-836]";"tubg1";393882;"ZDB-GENE-040426-836"
"2777";"ENSDARG00000015611";"RAS-like, family 11, member B [Source:ZFIN;Acc:ZDB-GENE-040426-793]";"rasl11b";393109;"ZDB-GENE-040426-793"
"2778";"ENSDARG00000015623";"adenosine deaminase 2b [Source:ZFIN;Acc:ZDB-GENE-041210-77]";"ada2b";559295;"ZDB-GENE-041210-77"
"2779";"ENSDARG00000015627";"regulator of G protein signaling 6 [Source:ZFIN;Acc:ZDB-GENE-030131-31]";"rgs6";562667;"ZDB-GENE-030131-31"
"2780";"ENSDARG00000015628";"proteasome 26S subunit, non-ATPase 10 [Source:ZFIN;Acc:ZDB-GENE-050112-1]";"psmd10";403085;"ZDB-GENE-050112-1"
"2781";"ENSDARG00000015638";"gem (nuclear organelle) associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3756]";"gemin2";550271;"ZDB-GENE-030131-3756"
"2782";"ENSDARG00000015649";"RAP2C, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-041024-1]";"rap2c";474323;"ZDB-GENE-041024-1"
"2783";"ENSDARG00000015653";"TNFAIP3 interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-070112-1502]";"tnip1";449958;"ZDB-GENE-070112-1502"
"2784";"ENSDARG00000015654";"carbonic anhydrase XVa [Source:ZFIN;Acc:ZDB-GENE-070424-7]";"ca15a";553469;"ZDB-GENE-070424-7"
"2785";"ENSDARG00000015657";"zgc:77112 [Source:ZFIN;Acc:ZDB-GENE-040426-2219]";"zgc:77112";406459;"ZDB-GENE-040426-2219"
"2786";"ENSDARG00000015662";"phospholipase A2, group XIIB [Source:ZFIN;Acc:ZDB-GENE-040426-2771]";"pla2g12b";406739;"ZDB-GENE-040426-2771"
"2787";"ENSDARG00000015674";"muscle segment homeobox 3 [Source:ZFIN;Acc:ZDB-GENE-980526-306]";"msx3";30526;"ZDB-GENE-980526-306"
"2788";"ENSDARG00000015676";"NMD3 ribosome export adaptor [Source:ZFIN;Acc:ZDB-GENE-050320-149]";"nmd3";541444;"ZDB-GENE-050320-149"
"2789";"ENSDARG00000015678";"si:dkeyp-75b4.9 [Source:ZFIN;Acc:ZDB-GENE-090313-396]";"si:dkeyp-75b4.9";NA;"ZDB-GENE-090313-396"
"2790";"ENSDARG00000015681";"glycogen synthase kinase 3 alpha b [Source:ZFIN;Acc:ZDB-GENE-990714-3]";"gsk3ab";30664;"ZDB-GENE-990714-3"
"2791";"ENSDARG00000015686";"bone morphogenetic protein 6 [Source:ZFIN;Acc:ZDB-GENE-050306-42]";"bmp6";503761;"ZDB-GENE-050306-42"
"2792";"ENSDARG00000015707";"dishevelled segment polarity protein 3a [Source:ZFIN;Acc:ZDB-GENE-010319-1]";"dvl3a";80972;"ZDB-GENE-010319-1"
"2793";"ENSDARG00000015709";"hydroxysteroid (17-beta) dehydrogenase 12a [Source:ZFIN;Acc:ZDB-GENE-030131-5628]";"hsd17b12a";327417;"ZDB-GENE-030131-5628"
"2794";"ENSDARG00000015722";"potassium channel tetramerization domain containing 5a [Source:ZFIN;Acc:ZDB-GENE-030131-727]";"kctd5a";322008;"ZDB-GENE-030131-727"
"2795";"ENSDARG00000015731";"anoctamin 5a [Source:ZFIN;Acc:ZDB-GENE-091013-2]";"ano5a";100534737;"ZDB-GENE-091013-2"
"2796";"ENSDARG00000015732";"cation/H+ exchanger protein 2 [Source:ZFIN;Acc:ZDB-GENE-100825-2]";"cax2";558687;"ZDB-GENE-100825-2"
"2797";"ENSDARG00000015734";"activation-induced cytidine deaminase [Source:ZFIN;Acc:ZDB-GENE-041122-2]";"aicda";493784;"ZDB-GENE-041122-2"
"2798";"ENSDARG00000015747";"alanyl-tRNA synthetase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040801-91]";"aarsd1";445178;"ZDB-GENE-040801-91"
"2799";"ENSDARG00000015749";"Hermansky-Pudlak syndrome 3 [Source:ZFIN;Acc:ZDB-GENE-061110-115]";"hps3";777758;"ZDB-GENE-061110-115"
"2800";"ENSDARG00000015752";"zeta chain of T cell receptor associated protein kinase 70 [Source:ZFIN;Acc:ZDB-GENE-050522-257]";"zap70";553615;"ZDB-GENE-050522-257"
"2801";"ENSDARG00000015757";"transmembrane protein 50A [Source:ZFIN;Acc:ZDB-GENE-040426-2937]";"tmem50a";406850;"ZDB-GENE-040426-2937"
"2802";"ENSDARG00000015759";"tetraspanin 7 [Source:ZFIN;Acc:ZDB-GENE-030131-5435]";"tspan7";406802;"ZDB-GENE-030131-5435"
"2803";"ENSDARG00000015765";"isoamyl acetate hydrolyzing esterase 1 (putative) [Source:ZFIN;Acc:ZDB-GENE-041008-186]";"iah1";449926;"ZDB-GENE-041008-186"
"2804";"ENSDARG00000015780";"ankyrin repeat domain 46b [Source:ZFIN;Acc:ZDB-GENE-050114-7]";"ankrd46b";402888;"ZDB-GENE-050114-7"
"2805";"ENSDARG00000015790";"ATPase Na+/K+ transporting subunit beta 3a [Source:ZFIN;Acc:ZDB-GENE-990415-167]";"atp1b3a";30468;"ZDB-GENE-990415-167"
"2806";"ENSDARG00000015793";"cAMP responsive element binding protein 3-like 1 [Source:ZFIN;Acc:ZDB-GENE-030219-181]";"creb3l1";338317;"ZDB-GENE-030219-181"
"2807";"ENSDARG00000015803";"Smith-Magenis syndrome chromosome region, candidate 8b [Source:ZFIN;Acc:ZDB-GENE-061122-1]";"smcr8b";407723;"ZDB-GENE-061122-1"
"2808";"ENSDARG00000015805";"cingulin-like 1 [Source:ZFIN;Acc:ZDB-GENE-071009-2]";"cgnl1";553350;"ZDB-GENE-071009-2"
"2809";"ENSDARG00000015807";"RAB22A, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-041114-161]";"rab22a";100001531;"ZDB-GENE-041114-161"
"2810";"ENSDARG00000015822";"sestrin 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2924]";"sesn3";406840;"ZDB-GENE-040426-2924"
"2811";"ENSDARG00000015823";"VPS26, retromer complex component B [Source:ZFIN;Acc:ZDB-GENE-040426-2699]";"vps26b";406684;"ZDB-GENE-040426-2699"
"2812";"ENSDARG00000015824";"LEM domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-490]";"lemd3";558474;"ZDB-GENE-030131-490"
"2813";"ENSDARG00000015829";"Mov10 RISC complex RNA helicase a [Source:ZFIN;Acc:ZDB-GENE-091230-8]";"mov10a";566858;"ZDB-GENE-091230-8"
"2814";"ENSDARG00000015835";"eukaryotic translation initiation factor 4E family member 2 related sequence 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1728]";"eif4e2rs1";393732;"ZDB-GENE-040426-1728"
"2815";"ENSDARG00000015851";"pinin, desmosome associated protein [Source:ZFIN;Acc:ZDB-GENE-060519-3]";"pnn";407733;"ZDB-GENE-060519-3"
"2816";"ENSDARG00000015853";"RNA binding protein S1, serine-rich domain [Source:ZFIN;Acc:ZDB-GENE-030131-5228]";"rnps1";NA;"ZDB-GENE-030131-5228"
"2817";"ENSDARG00000015854";"choline O-acetyltransferase a [Source:ZFIN;Acc:ZDB-GENE-080102-2]";"chata";100170938;"ZDB-GENE-080102-2"
"2818";"ENSDARG00000015856";"solute carrier family 25, member 40 [Source:ZFIN;Acc:ZDB-GENE-040718-52]";"slc25a40";436633;"ZDB-GENE-040718-52"
"2819";"ENSDARG00000015860";"myotubularin related protein 9 [Source:ZFIN;Acc:ZDB-GENE-040724-223]";"mtmr9";565063;"ZDB-GENE-040724-223"
"2820";"ENSDARG00000015862";"ribosomal protein L5b [Source:ZFIN;Acc:ZDB-GENE-040625-93]";"rpl5b";415196;"ZDB-GENE-040625-93"
"2821";"ENSDARG00000015863";"suppressor of cytokine signaling 6b [Source:ZFIN;Acc:ZDB-GENE-030131-1670]";"socs6b";322950;"ZDB-GENE-030131-1670"
"2822";"ENSDARG00000015866";"apolipoprotein A-II [Source:ZFIN;Acc:ZDB-GENE-030131-1046]";"apoa2";322327;"ZDB-GENE-030131-1046"
"2823";"ENSDARG00000015869";"solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:ZFIN;Acc:ZDB-GENE-041001-166]";"slc22a16";557279;"ZDB-GENE-041001-166"
"2824";"ENSDARG00000015876";"neuronal PAS domain protein 1 [Source:ZFIN;Acc:ZDB-GENE-060503-934]";"npas1";559419;"ZDB-GENE-060503-934"
"2825";"ENSDARG00000015879";"paired box 8 [Source:ZFIN;Acc:ZDB-GENE-001030-3]";"pax8";60637;"ZDB-GENE-001030-3"
"2826";"ENSDARG00000015887";"beta-2-microglobulin, like [Source:ZFIN;Acc:ZDB-GENE-040426-2136]";"b2ml";791742;"ZDB-GENE-040426-2136"
"2827";"ENSDARG00000015889";"zinc finger CCCH-type containing 15 [Source:ZFIN;Acc:ZDB-GENE-030131-6239]";"zc3h15";334307;"ZDB-GENE-030131-6239"
"2828";"ENSDARG00000015890";"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog a (paralog a) [Source:ZFIN;Acc:ZDB-GENE-010605-2]";"mafa";114467;"ZDB-GENE-010605-2"
"2829";"ENSDARG00000015891";"protein tyrosine phosphatase, receptor type, E, a [Source:ZFIN;Acc:ZDB-GENE-100714-1]";"ptprea";100499203;"ZDB-GENE-100714-1"
"2830";"ENSDARG00000015901";"polypyrimidine tract binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-060810-49]";"ptbp2b";562434;"ZDB-GENE-060810-49"
"2831";"ENSDARG00000015902";"signal transducer and activator of transcription 6, interleukin-4 induced [Source:ZFIN;Acc:ZDB-GENE-030131-9359]";"stat6";337413;"ZDB-GENE-030131-9359"
"2832";"ENSDARG00000015905";"leucine-zipper-like transcription regulator 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9564]";"lztr1";792832;"ZDB-GENE-030131-9564"
"2833";"ENSDARG00000015906";"mix-type homeobox gene 2 [Source:ZFIN;Acc:ZDB-GENE-000710-6]";"mxtx2";58078;"ZDB-GENE-000710-6"
"2834";"ENSDARG00000015907";"discoidin, CUB and LCCL domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050913-77]";"dcbld1";664747;"ZDB-GENE-050913-77"
"2835";"ENSDARG00000015915";"solute carrier family 25 (pyrimidine nucleotide carrier ), member 36b [Source:ZFIN;Acc:ZDB-GENE-080219-28]";"slc25a36b";558307;"ZDB-GENE-080219-28"
"2836";"ENSDARG00000015917";"ring finger protein, transmembrane 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2324]";"rnft1";406509;"ZDB-GENE-040426-2324"
"2837";"ENSDARG00000015918";"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:ZFIN;Acc:ZDB-GENE-030131-2921]";"dlat";324201;"ZDB-GENE-030131-2921"
"2838";"ENSDARG00000015921";"PWP1 homolog, endonuclein [Source:ZFIN;Acc:ZDB-GENE-040426-1049]";"pwp1";393262;"ZDB-GENE-040426-1049"
"2839";"ENSDARG00000015922";"serine/threonine kinase 17a like [Source:ZFIN;Acc:ZDB-GENE-061103-427]";"stk17al";777621;"ZDB-GENE-061103-427"
"2840";"ENSDARG00000015930";"RWD domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040718-270]";"rwdd1";436808;"ZDB-GENE-040718-270"
"2841";"ENSDARG00000015931";"si:ch211-214j24.9 [Source:ZFIN;Acc:ZDB-GENE-041210-81]";"si:ch211-214j24.9";559029;"ZDB-GENE-041210-81"
"2842";"ENSDARG00000015937";"kaptin (actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-040801-258]";"kptn";445248;"ZDB-GENE-040801-258"
"2843";"ENSDARG00000015946";"solute carrier family 44 (choline transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-050417-204]";"slc44a1a";100333377;"ZDB-GENE-050417-204"
"2844";"ENSDARG00000015947";"matrilin 4 [Source:ZFIN;Acc:ZDB-GENE-050208-64]";"matn4";497348;"ZDB-GENE-050208-64"
"2845";"ENSDARG00000015955";"claudin c [Source:ZFIN;Acc:ZDB-GENE-010328-3]";"cldnc";81582;"ZDB-GENE-010328-3"
"2846";"ENSDARG00000015964";"zgc:153311 [Source:ZFIN;Acc:ZDB-GENE-060825-194]";"zgc:153311";751666;"ZDB-GENE-060825-194"
"2847";"ENSDARG00000015966";"YY1 associated factor 2 [Source:ZFIN;Acc:ZDB-GENE-041210-115]";"yaf2";692296;"ZDB-GENE-041210-115"
"2848";"ENSDARG00000015968";"RAB guanine nucleotide exchange factor (GEF) 1, like [Source:ZFIN;Acc:ZDB-GENE-040426-813]";"rabgef1l";393915;"ZDB-GENE-040426-813"
"2849";"ENSDARG00000015970";"pleckstrin homology domain interacting protein [Source:ZFIN;Acc:ZDB-GENE-050208-261]";"phip";569727;"ZDB-GENE-050208-261"
"2850";"ENSDARG00000015971";"Rap guanine nucleotide exchange factor (GEF) 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1001]";"rapgef1b";394101;"ZDB-GENE-040426-1001"
"2851";"ENSDARG00000015978";"zgc:86599 [Source:ZFIN;Acc:ZDB-GENE-040625-180]";"COX5B";415253;"ZDB-GENE-040625-180"
"2852";"ENSDARG00000015985";"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:ZFIN;Acc:ZDB-GENE-050517-23]";"abcc9";561160;"ZDB-GENE-050517-23"
"2853";"ENSDARG00000015989";"zinc finger, DHHC-type containing 16b [Source:ZFIN;Acc:ZDB-GENE-040426-1301]";"zdhhc16b";393316;"ZDB-GENE-040426-1301"
"2854";"ENSDARG00000015990";"host cell factor C1a [Source:ZFIN;Acc:ZDB-GENE-030912-10]";"hcfc1a";564853;"ZDB-GENE-030912-10"
"2855";"ENSDARG00000015997";"major facilitator superfamily domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-040718-468]";"mfsd5";436986;"ZDB-GENE-040718-468"
"2856";"ENSDARG00000015998";"WD repeat and HMG-box DNA binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1665]";"wdhd1";436999;"ZDB-GENE-030131-1665"
"2857";"ENSDARG00000016010";"nucleoporin 107 [Source:ZFIN;Acc:ZDB-GENE-041210-245]";"nup107";562350;"ZDB-GENE-041210-245"
"2858";"ENSDARG00000016011";"glycerophosphocholine phosphodiesterase 1 [Source:ZFIN;Acc:ZDB-GENE-060503-472]";"gpcpd1";492483;"ZDB-GENE-060503-472"
"2859";"ENSDARG00000016016";"drebrin-like b [Source:ZFIN;Acc:ZDB-GENE-050522-293]";"dbnlb";553729;"ZDB-GENE-050522-293"
"2860";"ENSDARG00000016022";"zic family member 5 (odd-paired homolog, Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040622-1]";"zic5";403041;"ZDB-GENE-040622-1"
"2861";"ENSDARG00000016038";"3-hydroxyacyl-CoA dehydratase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1200]";"hacd3";393441;"ZDB-GENE-040426-1200"
"2862";"ENSDARG00000016044";"GINS complex subunit 4 (Sld5 homolog) [Source:ZFIN;Acc:ZDB-GENE-040801-59]";"gins4";572562;"ZDB-GENE-040801-59"
"2863";"ENSDARG00000016048";"glycerol-3-phosphate acyltransferase 3 [Source:ZFIN;Acc:ZDB-GENE-040718-436]";"gpat3";436958;"ZDB-GENE-040718-436"
"2864";"ENSDARG00000016056";"major histocompatibility complex class I LAA [Source:ZFIN;Acc:ZDB-GENE-050417-464]";"mhc1laa";550603;"ZDB-GENE-050417-464"
"2865";"ENSDARG00000016058";"fibroblast growth factor (acidic) intracellular binding protein a [Source:ZFIN;Acc:ZDB-GENE-040426-1363]";"fibpa";393381;"ZDB-GENE-040426-1363"
"2866";"ENSDARG00000016059";"RAB5B, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040426-2593]";"rab5b";405821;"ZDB-GENE-040426-2593"
"2867";"ENSDARG00000016065";"toll-like receptor 3 [Source:ZFIN;Acc:ZDB-GENE-040219-7]";"tlr3";403126;"ZDB-GENE-040219-7"
"2868";"ENSDARG00000016074";"crystallin, zeta (quinone reductase) [Source:ZFIN;Acc:ZDB-GENE-050306-24]";"cryz";407640;"ZDB-GENE-050306-24"
"2869";"ENSDARG00000016080";"NIN1 (RPN12) binding protein 1 homolog [Source:ZFIN;Acc:ZDB-GENE-030131-3112]";"nob1";557254;"ZDB-GENE-030131-3112"
"2870";"ENSDARG00000016081";"claudin 15-like a [Source:ZFIN;Acc:ZDB-GENE-010328-12]";"cldn15la";81591;"ZDB-GENE-010328-12"
"2871";"ENSDARG00000016084";"splA/ryanodine receptor domain and SOCS box containing 4a [Source:ZFIN;Acc:ZDB-GENE-070911-3]";"spsb4a";557906;"ZDB-GENE-070911-3"
"2872";"ENSDARG00000016085";"muscleblind-like splicing regulator 3 [Source:ZFIN;Acc:ZDB-GENE-081002-3]";"mbnl3";567027;"ZDB-GENE-081002-3"
"2873";"ENSDARG00000016086";"SMAD specific E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2744]";"smurf1";321695;"ZDB-GENE-040426-2744"
"2874";"ENSDARG00000016088";"reticulon 2a [Source:ZFIN;Acc:ZDB-GENE-060420-1]";"rtn2a";569502;"ZDB-GENE-060420-1"
"2875";"ENSDARG00000016089";"BRD4 interacting chromatin remodeling complex associated protein like [Source:ZFIN;Acc:ZDB-GENE-100716-3]";"bicral";559084;"ZDB-GENE-100716-3"
"2876";"ENSDARG00000016093";"queuine tRNA-ribosyltransferase accessory subunit 2 [Source:ZFIN;Acc:ZDB-GENE-060427-4]";"qtrt2";402798;"ZDB-GENE-060427-4"
"2877";"ENSDARG00000016095";"5-hydroxytryptamine (serotonin) receptor 6 [Source:ZFIN;Acc:ZDB-GENE-030131-7839]";"htr6";568269;"ZDB-GENE-030131-7839"
"2878";"ENSDARG00000016112";"Bardet-Biedl syndrome 12 [Source:ZFIN;Acc:ZDB-GENE-070626-3]";"bbs12";570583;"ZDB-GENE-070626-3"
"2879";"ENSDARG00000016117";"exonuclease 3'-5' domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6387]";"exd2";334455;"ZDB-GENE-030131-6387"
"2880";"ENSDARG00000016122";"peptidyl-tRNA hydrolase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081110-2]";"ptrhd1";563207;"ZDB-GENE-081110-2"
"2881";"ENSDARG00000016128";"adaptor related protein complex 3 subunit mu 2 [Source:ZFIN;Acc:ZDB-GENE-021022-2]";"ap3m2";415244;"ZDB-GENE-021022-2"
"2882";"ENSDARG00000016132";"kelch-like ECH-associated protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-556]";"keap1a";321837;"ZDB-GENE-030131-556"
"2883";"ENSDARG00000016138";"NME/NM23 nucleoside diphosphate kinase 6 [Source:ZFIN;Acc:ZDB-GENE-000710-3]";"nme6";58120;"ZDB-GENE-000710-3"
"2884";"ENSDARG00000016139";"McKusick-Kaufman syndrome [Source:ZFIN;Acc:ZDB-GENE-040426-757]";"mkks";393134;"ZDB-GENE-040426-757"
"2885";"ENSDARG00000016141";"solute carrier family 6 (neurotransmitter transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-110408-4]";"slc6a2";565776;"ZDB-GENE-110408-4"
"2886";"ENSDARG00000016143";"X-linked inhibitor of apoptosis [Source:ZFIN;Acc:ZDB-GENE-030825-7]";"xiap";373108;"ZDB-GENE-030825-7"
"2887";"ENSDARG00000016153";"dystroglycan 1 [Source:ZFIN;Acc:ZDB-GENE-021223-1]";"dag1";286829;"ZDB-GENE-021223-1"
"2888";"ENSDARG00000016154";"zinc finger protein 36, C3H type-like 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9860]";"zfp36l1a";561280;"ZDB-GENE-030131-9860"
"2889";"ENSDARG00000016156";"family with sequence similarity 53, member B [Source:ZFIN;Acc:ZDB-GENE-040426-2495]";"fam53b";406586;"ZDB-GENE-040426-2495"
"2890";"ENSDARG00000016160";"guanosine monophosphate reductase [Source:ZFIN;Acc:ZDB-GENE-050522-48]";"gmpr";553639;"ZDB-GENE-050522-48"
"2891";"ENSDARG00000016161";"coiled-coil domain containing 170 [Source:ZFIN;Acc:ZDB-GENE-070112-162]";"ccdc170";791129;"ZDB-GENE-070112-162"
"2892";"ENSDARG00000016163";"ubiquitin specific peptidase 33 [Source:ZFIN;Acc:ZDB-GENE-040426-2323]";"usp33";406508;"ZDB-GENE-040426-2323"
"2893";"ENSDARG00000016173";"chaperonin containing TCP1, subunit 3 (gamma) [Source:ZFIN;Acc:ZDB-GENE-020419-5]";"cct3";192327;"ZDB-GENE-020419-5"
"2894";"ENSDARG00000016177";"eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:ZFIN;Acc:ZDB-GENE-050320-113]";"eif4enif1";541411;"ZDB-GENE-050320-113"
"2895";"ENSDARG00000016181";"tripartite motif containing 33 [Source:ZFIN;Acc:ZDB-GENE-030131-2773]";"trim33";324053;"ZDB-GENE-030131-2773"
"2896";"ENSDARG00000016188";"si:ch73-63e15.2 [Source:ZFIN;Acc:ZDB-GENE-091204-463]";"SBNO2";100002292;"ZDB-GENE-091204-463"
"2897";"ENSDARG00000016200";"tribbles pseudokinase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2609]";"trib3";405805;"ZDB-GENE-040426-2609"
"2898";"ENSDARG00000016207";"zgc:112408 [Source:ZFIN;Acc:ZDB-GENE-050417-63]";"zgc:112408";550260;"ZDB-GENE-050417-63"
"2899";"ENSDARG00000016212";"nucleoporin 214 [Source:ZFIN;Acc:ZDB-GENE-110203-3]";"nup214";100529857;"ZDB-GENE-110203-3"
"2900";"ENSDARG00000016213";"zmp:0000001048 [Source:ZFIN;Acc:ZDB-GENE-140106-8]";"zmp:0000001048";556557;"ZDB-GENE-140106-8"
"2901";"ENSDARG00000016227";"major histocompatibility complex class I LBA [Source:ZFIN;Acc:ZDB-GENE-140820-3]";"mhc1lba";100150607;"ZDB-GENE-140820-3"
"2902";"ENSDARG00000016231";"B cell receptor associated protein 29 [Source:ZFIN;Acc:ZDB-GENE-050522-468]";"bcap29";554151;"ZDB-GENE-050522-468"
"2903";"ENSDARG00000016233";"short chain dehydrogenase/reductase family 16C, member 5a [Source:ZFIN;Acc:ZDB-GENE-040426-2049]";"sdr16c5a";405814;"ZDB-GENE-040426-2049"
"2904";"ENSDARG00000016238";"ADP-ribosylation factor-like 6 interacting protein 5b [Source:ZFIN;Acc:ZDB-GENE-040718-223]";"arl6ip5b";436790;"ZDB-GENE-040718-223"
"2905";"ENSDARG00000016239";"proteasome 26S subunit, non-ATPase 13 [Source:ZFIN;Acc:ZDB-GENE-040426-1004]";"psmd13";393922;"ZDB-GENE-040426-1004"
"2906";"ENSDARG00000016253";"v-ral simian leukemia viral oncogene homolog Ab (ras related) [Source:ZFIN;Acc:ZDB-GENE-041114-195]";"ralab";492355;"ZDB-GENE-041114-195"
"2907";"ENSDARG00000016255";"charged multivesicular body protein 4Ba [Source:ZFIN;Acc:ZDB-GENE-040426-906]";"chmp4ba";393164;"ZDB-GENE-040426-906"
"2908";"ENSDARG00000016256";"nudix (nucleoside diphosphate linked moiety X)-type motif 3a [Source:ZFIN;Acc:ZDB-GENE-040426-792]";"nudt3a";394120;"ZDB-GENE-040426-792"
"2909";"ENSDARG00000016260";"fragile X mental retardation, autosomal homolog 2 [Source:ZFIN;Acc:ZDB-GENE-040426-943]";"fxr2";393180;"ZDB-GENE-040426-943"
"2910";"ENSDARG00000016263";"zinc finger, DHHC-type containing 5a [Source:ZFIN;Acc:ZDB-GENE-090312-92]";"zdhhc5a";571795;"ZDB-GENE-090312-92"
"2911";"ENSDARG00000016280";"eukaryotic translation initiation factor 1A domain containing [Source:ZFIN;Acc:ZDB-GENE-040426-1199]";"eif1ad";393440;"ZDB-GENE-040426-1199"
"2912";"ENSDARG00000016290";"chloride channel accessory 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6221]";"clca1";334289;"ZDB-GENE-030131-6221"
"2913";"ENSDARG00000016301";"zgc:65894 [Source:ZFIN;Acc:ZDB-GENE-030131-7741]";"zgc:65894";335798;"ZDB-GENE-030131-7741"
"2914";"ENSDARG00000016302";"UPF1, RNA helicase and ATPase [Source:ZFIN;Acc:ZDB-GENE-040426-2836]";"upf1";406783;"ZDB-GENE-040426-2836"
"2915";"ENSDARG00000016304";"transcription factor Dp-1, b [Source:ZFIN;Acc:ZDB-GENE-040426-1746]";"tfdp1b";393749;"ZDB-GENE-040426-1746"
"2916";"ENSDARG00000016307";"mitochondrial ribosomal protein L46 [Source:ZFIN;Acc:ZDB-GENE-040718-224]";"mrpl46";436791;"ZDB-GENE-040718-224"
"2917";"ENSDARG00000016311";"dedicator of cytokinesis 9b [Source:ZFIN;Acc:ZDB-GENE-090916-2]";"dock9b";100151488;"ZDB-GENE-090916-2"
"2918";"ENSDARG00000016318";"mediator complex subunit 7 [Source:ZFIN;Acc:ZDB-GENE-030131-4823]";"med7";326098;"ZDB-GENE-030131-4823"
"2919";"ENSDARG00000016319";"complement component 9 [Source:ZFIN;Acc:ZDB-GENE-050522-442]";"c9";554141;"ZDB-GENE-050522-442"
"2920";"ENSDARG00000016336";"transmembrane and coiled-coil domains 6 [Source:ZFIN;Acc:ZDB-GENE-070410-47]";"tmco6";559069;"ZDB-GENE-070410-47"
"2921";"ENSDARG00000016337";"lactase-like b [Source:ZFIN;Acc:ZDB-GENE-060503-93]";"lctlb";564250;"ZDB-GENE-060503-93"
"2922";"ENSDARG00000016343";"zgc:92518 [Source:ZFIN;Acc:ZDB-GENE-040718-53]";"zgc:92518";436634;"ZDB-GENE-040718-53"
"2923";"ENSDARG00000016345";"nuclear receptor coactivator 5 [Source:ZFIN;Acc:ZDB-GENE-040912-155]";"ncoa5";447849;"ZDB-GENE-040912-155"
"2924";"ENSDARG00000016348";"disco-interacting protein 2 homolog Bb [Source:ZFIN;Acc:ZDB-GENE-100729-4]";"dip2bb";568954;"ZDB-GENE-100729-4"
"2925";"ENSDARG00000016350";"CAP, adenylate cyclase-associated protein 1 (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-6459]";"cap1";334527;"ZDB-GENE-030131-6459"
"2926";"ENSDARG00000016357";"flavin containing monooxygenase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6606]";"fmo5";794311;"ZDB-GENE-030131-6606"
"2927";"ENSDARG00000016360";"karyopherin alpha 1 (importin alpha 5) [Source:ZFIN;Acc:ZDB-GENE-091116-39]";"kpna1";572542;"ZDB-GENE-091116-39"
"2928";"ENSDARG00000016363";"hairy-related 8a [Source:ZFIN;Acc:ZDB-GENE-030131-2376]";"her8a";323656;"ZDB-GENE-030131-2376"
"2929";"ENSDARG00000016364";"guanine nucleotide binding protein (G protein), alpha 15 (Gq class), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040801-146]";"gna15.1";445232;"ZDB-GENE-040801-146"
